Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Годунок,Вʼячеслав,Ігорович,Чоловік,1965-01-28,Палеонтолог,село Бобровиця,"вулиця Володимира Хавкіна, буд. 498 кв. 93, Чистякове, 03281",060-24-32,kozakmyroslav@ukr.net
Олійник,Роман,Андрійович,Чоловік,1977-05-23,Програміст,село Гнівань,"шосе Дукова, буд. 468 кв. 584, Зоринськ, 81501",090 004 07 18,babarychenkooleksandr@ukr.net
Акименко,Клавдія,Михайлівна,Жінка,1946-02-27,Флорист,селище Чернігів,"площа Маковий, буд. 06 кв. 776, Андрушівка, 48000",+380 (76) 702-49-14,varfolomii63@ukr.net
Василенко,Гліб,Антонович,Чоловік,1991-04-18,Драматург,село Українськ,"провулок Василя Кандинського 5-й, буд. 7 кв. 6, Стрий, 47078",+380 32 636-29-22,snizhanaiermolenko@ukr.net
Піддубний,Степан,Романович,Чоловік,1963-11-25,Модельєр,селище Вишневе,"вулиця Деревообробний 1-й, буд. 30, Соснівка, 18219",025 125-41-41,shvachkotereza@gmail.com
Ковалюк,Пармен,Валентинович,Чоловік,2003-02-06,Публіцист,селище Перечин,"вулиця Водопровідний 2-й, буд. 55, Молочанськ, 16920",+380 22 020-94-42,tetianafurs@ukr.net
Оробець,Єфрем,Андрійович,Чоловік,1974-01-24,Стиліст,місто Волноваха,"площа Бахчисарайська, буд. 2, Дніпрорудне, 15653",215 37 08,dan03@gmail.com
Ребрик,Одарка,Григорівна,Жінка,1943-07-03,Швачка,селище Арциз,"площа Хвиляста, буд. 5, Мостиська, 84890",027 597 51 74,rozaliia99@ukr.net
Юрчук,Юстина,Василівна,Жінка,1977-06-27,Машиніст,місто Нікополь,"вулиця Гобеленова, буд. 04 кв. 2, Камінь-Каширський, 66436",+380 (91) 604-88-37,petro79@ukr.net
Худяк,Аркадій,Дмитрович,Чоловік,1938-01-11,Мікробіолог,місто Берестечко,"узвіз Жевахова, буд. 821, Кам'янка-Бузька, 69430",007 410-06-88,okorolenko@gmail.com
Оніщук,Андрій,Сергійович,Чоловік,1973-02-08,Мікробіолог,місто Гнівань,"шосе Новоселів, буд. 150, Вараш, 41007",+380 59 067-05-32,serhii68@gmail.com
Малик,Юстина,Василівна,Жінка,1999-02-05,Мовознавець,селище Рогатин,"провулок Чубаївська, буд. 0 кв. 3, Берестечко, 63036",+380 (41) 194-40-97,petliurarostyslav@gmail.com
Голобородько,Софія,Дмитрівна,Жінка,1941-03-11,Письменник,село Баштанка,"узвіз Тіниста, буд. 238, Городок, 45277",758 23 44,abramchukhanna@gmail.com
Деркач,Валентина,Володимирівна,Жінка,2005-12-06,Редактор,селище Ніжин,"шосе Косий, буд. 3, Івано-Франківськ, 70419",053 916 34 72,jfareniuk@gmail.com
Гайда,Мартин,Іванович,Чоловік,1997-09-07,Кінолог,село Валки,"площа Центральна, буд. 99, Миргород, 56669",+380 88 293-51-51,neporozhniidan@gmail.com
Затовканюк,Вʼячеслав,Тимофійович,Чоловік,1967-07-28,Кушнір,селище Торецьк,"узвіз Торгова, буд. 647, Галич, 32258",+380 66 882-36-50,martynkonoplia@ukr.net
Негода,Анастасія,Олександрівна,Жінка,1978-12-22,Антрополог,селище Снігурівка,"узвіз Цимлянська, буд. 149, Луганськ, 12353",+380 77 085-17-42,kdrozd@ukr.net
Чумаченко,Юстим,Олександрович,Чоловік,1985-08-28,Кушнір,село Ходорів,"вулиця Одеської громади, буд. 791 кв. 82, Трускавець, 86237",+380 73 343-02-66,kyrylo83@gmail.com
Ісаєвич,Адам,Тимофійович,Чоловік,1944-02-02,Локсмайстер,село Вишневе,"парк Кишинівська, буд. 1 кв. 0, Кремінна, 15018",011 50 43,lvanchenko@gmail.com
Чекалюк,Анжела,Василівна,Жінка,1957-08-10,Водій,місто Тисмениця,"сквер Гетьманський, буд. 7, Корюківка, 62224",830-58-79,nataliiavovk@ukr.net
Гайденко,Михайлина,Олегівна,Жінка,1963-09-10,Штукатур,місто Коростишів,"шосе Високий, буд. 291 кв. 72, Олевськ, 45532",997-95-54,savenkovladyslav@ukr.net
Скирда,Оксана,Петрівна,Жінка,1972-11-21,Піаніст,село Севастополь,"вулиця Наклонна, буд. 2 кв. 21, Олександрівськ, 54904",+380 60 233 51 58,jpetliura@gmail.com
Акуленко,Еріка,Олександрівна,Жінка,1969-03-09,Хореограф,село Полонне,"шосе Складська, буд. 77 кв. 096, Довжанськ, 67600",040 060 32 00,roman24@ukr.net
Бабариченко,Охрім,Сергійович,Чоловік,1953-06-28,Клавішник,село Молочанськ,"провулок Кременецький, буд. 8 кв. 6, Феодосія, 12816",+380 33 906-47-34,gvernyhora@gmail.com
Ажажа,Вікторія,Василівна,Жінка,1967-09-13,Вчитель,місто Болехів,"шосе Дукова, буд. 17, Гуляйполе, 38720",+380 36 884 67 13,alina47@gmail.com
Удовиченко,Ада,Дмитрівна,Жінка,1942-08-09,Дизайнер,селище Теплодар,"набережна Слави, буд. 0, Бучач, 42985",617 36 40,iierchenko@gmail.com
Дутка,Михайлина,Сергіївна,Жінка,1993-11-12,Дипломат,село Перечин,"парк Йосипа Фішера, буд. 74, Хрустальний, 35286",+380 48 005-08-70,edytahavrylets@ukr.net
Павличенко,Амалія,Ігорівна,Жінка,1969-04-15,Хореограф,селище Новояворівськ,"набережна Стельмаха, буд. 9 кв. 10, Скалат, 69726",041 221 55 18,askopenko@ukr.net
Заєць,Амалія,Валентинівна,Жінка,1947-05-20,Детектив,місто Мукачево,"сквер Картамишевський, буд. 7 кв. 769, Гребінка, 71263",095 057 66 00,shovkopliasles@ukr.net
Петрик,Онисим,Сергійович,Чоловік,1977-02-06,Музикант,місто Київ,"парк Східний 2-й, буд. 850, Довжанськ, 34081",+380 03 060 81 96,amvrosii77@ukr.net
Верховинець,Соломія,Сергіївна,Жінка,1952-05-06,Нотаріус,селище Жидачів,"сквер Аеропортівський 5-й, буд. 9 кв. 0, Іловайськ, 86358",+380 77 354-71-14,khomakolesnychenko@gmail.com
Баран,Семен,Антонович,Чоловік,1954-11-08,Провізор,село Тульчин,"площа Академіка Ясиновського, буд. 9, Городок, 37918",+380 22 144-12-47,leopold02@ukr.net
Василенко,Гліб,Тимофійович,Чоловік,1989-12-01,Стоматолог,місто Буськ,"узвіз Купріна, буд. 41, Сокаль, 86116",+380 (62) 479-16-39,boleslav90@gmail.com
Шморгун,Галина,Ярославівна,Жінка,1982-06-18,Стиліст,село Зміїв,"проспект Офіцерська, буд. 5 кв. 4, Сарни, 35875",+380 08 393-41-50,maksymbaturynets@gmail.com
Гаврюшенко,Нестор,Сергійович,Чоловік,1987-03-13,Різноробочий,село Липовець,"проспект Теофіла Фраєрмана, буд. 503 кв. 5, Краматорськ, 53117",+380 14 938-55-24,tostapchuk@gmail.com
Орлик,Віктор,Тимофійович,Чоловік,2008-10-26,Прокурор,селище Селидове,"проспект Бокаріуса, буд. 72, Лубни, 56314",+380 (76) 354-06-85,xiefymenko@gmail.com
Бебешко,Лукʼян,Іванович,Чоловік,1955-05-21,Географ,місто Борзна,"провулок Запорізька, буд. 78, Баранівка, 76866",066 019-80-41,olha15@gmail.com
Фастенко,Богуслава,Петрівна,Жінка,1949-11-27,Клоун,місто Глобине,"сквер Липнева, буд. 1 кв. 58, Нововолинськ, 56154",+380 01 268-79-11,martamatiash@ukr.net
Цибуленко,Степан,Григорович,Чоловік,1994-05-14,Астрофізик,селище Заліщики,"шосе Пересипська 2-га, буд. 752 кв. 60, Біляївка, 58292",+380 19 279-12-86,dankotetiana@ukr.net
Швачко,Мирослав,Михайлович,Чоловік,2008-06-13,Реабілітолог,місто Дергачі,"узвіз Кругова, буд. 4, Краматорськ, 85216",+380 90 526-09-81,orobetsserhii@gmail.com
Артим,Петро,Дмитрович,Чоловік,2003-02-22,Бізнесмен,селище Черкаси,"сквер Старобазарний, буд. 72, Судак, 72491",104-84-28,svasylevych@gmail.com
Рудько,Макар,Ігорович,Чоловік,2001-05-05,Продюсер,селище Сокаль,"провулок Учнівська, буд. 246 кв. 903, Підгородне, 13158",+380 86 008-76-23,sachenkoboryslav@gmail.com
Євтушенко,Олег,Зіновійович,Чоловік,1990-06-04,Няня,селище Хмельницький,"узвіз Чигиринська, буд. 37 кв. 05, Алупка, 26363",012 939 05 68,amvrosii27@ukr.net
Вахній,Тарас,Вікторович,Чоловік,1956-03-09,Детектив,село Новгород-Сіверський,"проспект Лиманний, буд. 647, Коломия, 97846",022-79-34,khrystynaoberemko@gmail.com
Товстуха,Марʼяна,Ярославівна,Жінка,1998-04-20,Шериф,селище Угнів,"узвіз Пшенична, буд. 48, Снігурівка, 03091",687 55 84,pprotsenko@ukr.net
Авраменко,Йосип,Валентинович,Чоловік,1986-06-15,Літературознавець,місто Старий Крим,"шосе Бокаріуса, буд. 9 кв. 5, Збараж, 02410",+380 67 023-07-03,marynaskoryk@gmail.com
